# snapshot: grenderRouter, сэмплер замера RQ-03, 2026-08-05T22:37:31Z
# command: scripts/probe-rq03.sh --collect

# t	phase	sta_if	assoc_ssid	ap_up	ap_clients	ap_macs	ap_conn_time	net_up	net_ipv4	net_gw	net_uptime
225.88	idle	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	37	true	10.84.92.1	10.84.92.31	145
225.94	idle	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	37	true	10.84.92.1	10.84.92.31	145
226.00	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.42	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.50	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.55	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.60	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.66	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.71	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.76	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.81	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.86	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.91	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	148
228.96	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	40	true	10.84.92.1	10.84.92.31	149
229.01	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.07	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.12	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.17	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.22	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.27	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.32	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.37	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.42	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.47	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.52	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.57	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.62	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
229.67	scan:1	phy0.0-sta0	grenderNet idhd NONONO	true	1	6C:40:08:98:AA:18	41	true	10.84.92.1	10.84.92.31	149
